date,ANZ.AX,CBA.AX,MQG.AX,NAB.AX,RIO.AX,WOW.AX
2020-01-02,18.1368541718,64.9333114624,113.6971130371,19.0279846191,77.0385055542,26.3262825012
2020-01-03,18.2698345184,65.2828674316,114.3915557861,19.1441555023,77.1984329224,26.3770751953
2020-01-06,18.1959590912,64.8439025879,113.7797927856,19.0124969482,77.0232620239,26.3480510712
2020-01-07,18.4323635101,66.0063323975,115.3339996338,19.2835483551,77.4878540039,26.8052082062
2020-01-08,18.3658771515,65.7624588013,114.4990310669,19.2215957642,76.8176269531,27.0301551819
2020-01-09,18.3880386353,66.2420654297,115.0198440552,19.2293376923,77.830581665,27.0083885193
2020-01-10,18.5579566956,67.0630950928,116.0284423828,19.3067855835,78.0133743286,27.4437713623
2020-01-13,18.4766921997,67.0468292236,115.3257369995,19.3067855835,77.7468032837,27.1607761383
2020-01-14,18.6170578003,67.6077041626,116.6732788086,19.4074611664,79.1862869263,27.8501300812
2020-01-15,18.6539974213,68.0060501099,116.9874191284,19.492647171,78.7445449829,27.7993354797
2020-01-16,18.779586792,68.6563339233,118.6077651978,19.6397953033,78.7521591187,28.0678253174
2020-01-17,18.779586792,68.3230667114,119.1616363525,19.7172374725,80.1535568237,28.3290519714
2020-01-20,18.8313026428,68.2255020142,119.8560943604,19.8334026337,80.8770828247,28.4741802216
2020-01-21,18.8460769653,67.8597106934,119.0541763306,19.9031066895,81.0751190186,29.0329246521
2020-01-22,19.0012207031,68.6482086182,120.5835800171,19.9108448029,81.7834243774,29.9835186005
2020-01-23,19.0233821869,68.7051086426,119.8726119995,19.8953590393,80.8770828247,29.707775116
2020-01-24,19.1341991425,69.0465164185,120.5835800171,19.9805469513,78.5845947266,29.6352138519
2020-01-28,18.8091430664,68.2986679077,118.2274856567,19.8334026337,76.1550140381,29.8601570129
2020-01-29,19.0529346466,68.7782745361,119.5419311523,19.9805469513,76.4901275635,29.8891887665
2020-01-30,19.0824813843,69.4529800415,120.4678421021,20.0425014496,75.5457000732,30.0705986023
2020-01-31,19.0233821869,69.3066482544,119.6825027466,20.0270137787,75.2258300781,30.3608570099
2020-02-03,18.6835460663,68.7294998169,117.2685012817,19.7482128143,73.7711105347,30.3463420868
2020-02-04,18.9642810822,68.5344009399,118.252281189,19.8256626129,74.1366958618,30.752696991
2020-02-05,19.0750961304,67.6971359253,119.5998153687,19.8334026337,74.9668807983,30.6365966797
2020-02-06,19.2893390656,68.4693832397,121.2945556641,20.0967121124,75.5076370239,30.8760604858
2020-02-07,19.2302417755,68.932723999,121.4929962158,20.0734786987,74.9668807983,30.9994125366
2020-02-10,19.1711368561,68.5425338745,120.9804077148,19.9650592804,74.8754653931,31.2824172974
2020-02-11,19.3041191101,68.86769104,120.3107833862,20.0579910278,75.1192016602,31.3477249146
2020-02-12,19.4592590332,71.6802902222,122.5677032471,20.2361106873,74.2585601807,31.2388820648
2020-02-13,19.5257492065,72.1273727417,123.4357452393,20.514913559,74.6469955444,31.1155147552
2020-02-14,19.6587276459,73.9644927979,122.832244873,21.1809272766,74.372795105,31.304189682
2020-02-17,19.6365604401,72.7207794189,122.9479980469,21.1267166138,74.5175018311,31.3985214233
2020-02-18,19.6882762909,73.3710784912,123.2952041626,21.1267166138,74.8754653931,31.5799312592
2020-02-19,19.7695465088,73.0136260986,124.651008606,21.1499519348,74.7079162598,31.5871887207
2020-02-20,19.9690113068,73.0302429199,125.4694290161,21.2196502686,74.7460021973,31.6379795074
2020-02-21,20.1241550446,73.819984436,125.1139526367,21.227394104,74.4032669067,31.5291347504
2020-02-24,19.8212585449,73.1466217041,120.4430541992,20.9950618744,72.552520752,30.9486198425
2020-02-25,19.6439533234,72.157371521,119.6659622192,20.7549858093,71.2882232666,30.3681049347
2020-02-26,19.2597866058,70.9519729614,116.805519104,20.3212966919,69.9858322144,29.5553855896
2020-02-27,18.8608531952,70.187171936,115.2595977783,20.0502490997,68.8586273193,29.1853084564
2020-02-28,18.3437156677,67.9842071533,111.4650268555,19.4384384155,66.4671173096,28.1548995972
2020-03-02,17.9817142487,66.8952102661,110.7788391113,18.9505405426,65.7054901123,28.0315437317
2020-03-03,17.7305316925,65.7646408081,112.3991775513,18.6872291565,67.6324081421,27.574388504
2020-03-04,17.1469020844,64.1020050049,109.9025268555,17.9979801178,68.5463638306,27.2674331665
2020-03-05,17.1690635681,63.8027381897,113.6971130371,18.0367050171,70.0895233154,27.7753829956
2020-03-06,16.3564167023,61.4584617615,109.0675430298,17.0376777649,68.3461837769,27.9741477966
2020-03-09,14.9749107361,57.4848136902,100.444984436,15.5972156525,64.0037231445,27.5839805603
2020-03-10,15.6102581024,60.9929351807,104.6198730469,16.340681076,66.2542037964,27.48828125
2020-03-11,14.7458906174,56.9444732666,99.9489746094,15.3184175491,65.5410308838,26.5386333466
2020-03-12,13.489979744,52.4637336731,92.4093933105,14.0405921936,61.3332862854,25.5521755219
2020-03-13,13.888915062,55.1654701233,96.294921875,14.257434845,64.2493896484,27.2747936249
2020-03-16,12.1528015137,49.6456031799,84.7375488281,12.4839715958,61.5313873291,26.7373981476
2020-03-17,13.5934095383,56.2295455933,86.3826980591,13.3281078339,65.7708435059,29.3360443115
2020-03-18,12.2783927917,53.1620292664,75.271736145,12.3987817764,63.3222503662,29.1520061493
2020-03-19,11.0815820694,50.6681098938,65.5579376221,11.2835865021,63.8056182861,29.3728542328
2020-03-20,11.8351287842,49.8035469055,70.319770813,12.1277265549,64.9784088135,27.5839805603
2020-03-23,10.4166851044,45.1066665649,59.5394859314,10.7492237091,62.37134552,26.8330974579
2020-03-24,10.9707679749,47.3844490051,66.0539550781,11.1519317627,63.0369949341,26.6343307495
2020-03-25,12.2414541245,51.873500824,69.8733444214,12.2284040451,66.4206161499,26.8110122681
2020-03-26,12.3374938965,51.3747138977,70.3941650391,12.4994573593,69.8359375,27.0392227173
2020-03-27,11.4288053513,47.9331130981,66.1448822021,11.7095308304,67.9737625122,25.618429184
2020-03-30,12.3965950012,53.1620292664,70.8075180054,12.6311130524,69.3684310913,28.07721138
2020-03-31,12.5295772552,51.3913421631,70.8901977539,12.9176568985,67.0149307251,25.8392791748
2020-04-01,12.5960636139,52.9292640686,73.8580627441,13.1267557144,70.049911499,26.509185791
